PSMID,cv,hsax-prediction,scx-prediction,rp-prediction,hsax-prediction-peptide1,scx-prediction-peptide1,rp-prediction-peptide1,hsax-prediction-peptide2,scx-prediction-peptide2,rp-prediction-peptide2,hsax-error,scx-error,rp-error,hsax-error-peptide1,scx-error-peptide1,rp-error-peptide1,hsax-error-peptide2,scx-error-peptide2,rp-error-peptide2
540324,-1,7,6,68.05889892578125,6,5,43.61456298828125,0,6,17.517377853393555,-2,1,-5.1506319257812265,-1,2,19.293704011718773,5,1,45.39088914660647
499707,-1,6,7,52.637298583984375,6,6,39.16611099243164,0,6,6.544228553771973,1,0,10.786107416015625,1,1,24.25729500756836,7,1,56.87917744622803
432457,-1,4,4,53.535255432128906,4,5,36.2100715637207,0,3,10.39823055267334,0,3,16.011060567871112,0,2,33.336244436279316,4,4,59.14808544732668
786982,-1,4,5,36.666259765625,2,6,15.94997501373291,0,4,13.789326667785645,0,1,-0.08494376562499895,2,0,20.63134098626709,4,2,22.791989332214357
1226432,-1,1,8,15.504988670349121,4,7,5.732479572296143,0,7,2.8455474376678467,3,0,5.073401329650881,0,1,14.84591042770386,4,1,17.732842562332156
1469567,-1,6,5,71.68756866455078,5,6,54.72516632080078,1,4,10.035445213317871,2,0,13.977724335449196,3,-1,30.940126679199196,7,1,75.6298477866821
304853,-1,5,5,41.488895416259766,5,6,21.779531478881836,0,4,12.7824125289917,2,0,16.07052758374023,2,-1,35.77989152111816,7,1,44.777010471008296
576218,-1,3,4,60.95221710205078,0,4,19.75296401977539,3,5,34.27229309082031,-3,-1,-17.883657102050776,0,-1,23.315595980224614,-3,-2,8.796266909179693
943084,-1,6,5,48.320518493652344,5,6,21.779531478881836,2,3,19.61402702331543,0,-3,10.083245506347659,1,-4,36.62423252111817,4,-1,38.78973697668457
593913,3,4,4,48.69735336303711,1,4,23.072532653808594,1,4,10.104856491088867,1,-1,-2.2927073630371098,4,-1,23.332113346191406,4,-1,36.29978950891113
713146,-1,5,6,90.55464172363281,4,6,65.17823791503906,0,4,18.449462890625,2,-4,1.884548276367184,3,-4,27.260952084960934,7,-2,73.989727109375
1231438,-1,4,6,49.796321868896484,4,5,30.046009063720703,0,5,12.823351860046387,0,2,-3.70235686889648,0,3,16.0479559362793,4,3,33.27061313995362
814823,-1,6,4,50.665626525878906,5,6,20.99079704284668,0,3,22.747873306274414,-1,0,-4.987604525878901,0,-2,24.687224957153326,5,1,22.93014869372559
712065,-1,7,6,92.80001831054688,7,6,62.04011535644531,4,5,23.832937240600586,0,-4,-6.754804310546874,0,-4,24.00509864355469,3,-3,62.212276759399415
372794,-1,7,5,78.77728271484375,4,6,43.415184020996094,4,4,28.43514060974121,-1,3,-2.6020017148437518,2,2,32.760096979003904,2,4,47.74014039025879
815687,1,6,1,55.37241744995117,6,0,30.25689125061035,6,0,32.31031036376953,-1,3,-5.49870044995118,-1,4,19.61682574938964,-1,4,17.56340663623046
8096,-1,3,6,46.099151611328125,0,6,22.53421401977539,2,5,16.637977600097656,0,-3,9.004592388671874,3,-3,32.56952998022461,1,-2,38.46576639990234
818198,-1,6,6,57.763694763183594,6,5,43.61456298828125,0,6,7.222170829772949,-1,-2,4.231541236816405,-1,-1,18.38067301171875,5,-2,54.77306517022705
972810,-1,7,5,76.85708618164062,6,5,46.939239501953125,2,5,22.990888595581055,0,-1,-0.9932781816406191,1,-1,28.92456849804688,5,-1,52.87291940441895
1119606,-1,4,6,49.687721252441406,1,4,29.91874122619629,0,6,12.842020988464355,4,-4,4.1308327475585855,7,-2,23.899812773803703,8,-4,40.976533011535636
1708562,-1,0,4,37.29112243652344,0,4,15.764153480529785,0,5,14.600008964538574,0,-1,5.794923563476566,0,-1,27.321892519470218,0,-2,28.48603703546143
974825,-1,6,5,82.72087097167969,6,6,59.179588317871094,0,3,16.614322662353516,1,-1,4.492351028320343,1,-2,28.033633682128936,7,1,70.59889933764651
381274,2,5,3,44.48747634887695,5,1,27.75858497619629,3,4,10.132245063781738,0,1,-2.9439003488769515,0,3,13.784991023803713,2,0,31.411330936218263
1018890,-1,4,2,52.39691162109375,3,2,25.813928604125977,1,5,19.656028747558594,0,3,-8.129604621093755,1,3,18.45337839587402,3,0,24.6112782524414
414833,-1,5,2,53.48246765136719,4,2,26.5152530670166,0,4,20.04024887084961,1,5,10.186288348632814,2,5,37.1535029329834,6,3,43.62850712915039
682901,-1,4,4,45.16539001464844,4,4,11.439298629760742,0,4,26.799131393432617,0,-3,7.494610985351564,0,-3,41.22070237023926,4,-3,25.860869606567384
140345,2,1,5,50.87101364135742,2,5,16.174631118774414,1,1,28.09973907470703,-1,1,-13.531647641357416,-2,1,21.16473488122559,-1,5,9.239626925292974
1212581,-1,1,3,47.4842414855957,1,3,22.935667037963867,0,4,17.62161636352539,3,2,-10.712373485595698,3,2,13.836200962036138,4,1,19.150251636474614
1306543,-1,7,6,82.56828308105469,5,6,41.393524169921875,6,6,34.24779510498047,-1,-3,-4.5702840810546945,1,-3,36.60447483007812,0,-3,43.750203895019524
719092,-1,1,4,36.557090759277344,0,2,24.441892623901367,0,6,5.188241958618164,1,0,4.556688240722657,2,2,16.671886376098634,2,-2,35.92553704138184
1004307,-1,4,6,36.11840057373047,5,5,25.906173706054688,0,6,3.2852694988250732,1,-6,12.966778426269535,0,-5,23.179005293945316,5,-6,45.79990950117493
1753983,-1,4,6,37.85615539550781,4,6,19.04623794555664,0,5,11.882955551147461,2,-1,-1.1524913955078162,2,-1,17.657426054443356,6,0,24.820708448852535
358713,-1,8,7,112.59522247314453,6,6,57.61585235595703,6,6,48.052406311035156,0,-3,-37.19632447314454,2,-2,17.783045644042957,2,-2,27.346491688964832
158270,-1,4,3,41.29502487182617,2,3,24.85131072998047,0,5,9.51675033569336,0,-3,2.9351481281738288,2,-3,19.378862270019532,4,-5,34.71342266430664
1441840,-1,3,6,53.86925506591797,4,5,38.28548812866211,0,6,8.656816482543945,-2,-1,0.7324309340820321,-3,0,16.31619787133789,1,-1,45.944869517456056
137465,2,1,6,29.077877044677734,1,5,7.499941825866699,2,2,14.98129940032959,-1,0,-5.250767044677733,-1,1,16.327168174133302,-2,4,8.845810599670411
